Branch,Category,Jee_Rank,Region,Round
Mechanical Engineering with specialization in Electric Vehicles,SC,833068,D,S
Civil Engineering,SC,230235,OD,S
Geoinformatics,SC,588183,OD,S
Mechanical Engineering with specialization in Electric Vehicles,SC,211846,OD,S
Civil Engineering,SC,1039366,D,s2
Geoinformatics,SC,525965,D,s2
Mechanical Engineering with specialization in Electric Vehicles,SC,833068,D,s2
Civil Engineering,SC,230235,OD,s2
Geoinformatics,SC,588183,OD,s2
Mechanical Engineering with specialization in Electric Vehicles,SC,211846,OD,s2
Civil Engineering,SpotRound-1,1039366,D,s2
Geoinformatics,SpotRound-1,525965,D,s2
Mechanical Engineering with specialization in Electric Vehicles,SpotRound-1,833068,D,s2
Civil Engineering,SpotRound-1,230235,OD,s2
Geoinformatics,SpotRound-1,588183,OD,s2
Mechanical Engineering with specialization in Electric Vehicles,SpotRound-1,211846,OD,s2
Civil Engineering,SpotRound-2,1039366,D,s2
Geoinformatics,SpotRound-2,525965,D,s2
Mechanical Engineering with specialization in Electric Vehicles,SpotRound-2,833068,D,s2
Civil Engineering,SpotRound-2,230235,OD,s2
Geoinformatics,SpotRound-2,588183,OD,s2
Mechanical Engineering with specialization in Electric Vehicles,SpotRound-2,211846,OD,s2
Civil Engineering,SCGirlCandidate,400404,D,1
Geoinformatics,SCGirlCandidate,441081,D,1
Mechanical Engineering with specialization in Electric Vehicles,SCGirlCandidate,459503,D,1
Civil Engineering,SCGirlCandidate,408984,D,2
Geoinformatics,SCGirlCandidate,516136,D,2
Mechanical Engineering with specialization in Electric Vehicles,SCGirlCandidate,477772,D,2
Civil Engineering,SCGirlCandidate,470858,D,3
Geoinformatics,SCGirlCandidate,516136,D,3
Mechanical Engineering with specialization in Electric Vehicles,SCGirlCandidate,477772,D,3
Civil Engineering,SCGirlCandidate,470858,D,4
Geoinformatics,SCGirlCandidate,524508,D,4
Mechanical Engineering with specialization in Electric Vehicles,SCGirlCandidate,513253,D,4
Civil Engineering,SCGirlCandidate,643195,D,5
Geoinformatics,SCGirlCandidate,797746,D,5
Mechanical Engineering with specialization in Electric Vehicles,SCGirlCandidate,736571,D,5
Civil Engineering,ST,521306,D,1
Mechanical Engineering with specialization in Electric Vehicles,ST,742524,D,1
Geoinformatics,ST,157240,OD,1
Mechanical Engineering with specialization in Electric Vehicles,ST,124733,OD,1
Civil Engineering,ST,742524,D,2
Geoinformatics,ST,193389,OD,2
Mechanical Engineering with specialization in Electric Vehicles,ST,165178,OD,2
Civil Engineering,ST,682374,D,3
Geoinformatics,ST,220167,OD,3
Mechanical Engineering with specialization in Electric Vehicles,ST,187056,OD,3
Geoinformatics,ST,235615,OD,4
Mechanical Engineering with specialization in Electric Vehicles,ST,187056,OD,4
Geoinformatics,ST,248095,OD,5
Mechanical Engineering with specialization in Electric Vehicles,ST,187056,OD,5
Mechanical Engineering with specialization in Electric Vehicles,ST,187056,OD,U1
Mechanical Engineering with specialization in Electric Vehicles,ST,187056,OD,S
Mechanical Engineering with specialization in Electric Vehicles,ST,187056,OD,s2
Mechanical Engineering with specialization in Electric Vehicles,SpotRound-1,187056,OD,s2
Mechanical Engineering with specialization in Electric Vehicles,SpotRound-2,187056,OD,s2
Civil Engineering,STGirlCandidate,678683,D,1
